Privacy,Public Transport,tick,user
5.283063112587726,8.219750889724981,0.0,0.0
-4.264771102784525,0.7021687299327155,0.0,1.0
-6.722079584829624,6.114435396087853,0.0,2.0
-6.282384952122124,-1.261092614128831,0.0,3.0
-6.3199893844448045,-2.636546650138225,0.0,4.0
-6.090470237238996,5.054875759714491,0.0,5.0
5.274342958407704,0.36155752281766596,0.0,6.0
4.83166444204163,-5.8409035552476585,0.0,7.0
-4.795259197129558,2.013021388038201,0.0,8.0
4.784778481208479,-2.9914582989073306,0.0,9.0
5.283063112587726,9.305380643711302,1.0,0.0
-4.264771102784525,1.0360402679398095,1.0,1.0
-6.722079584829624,6.989533600710461,1.0,2.0
-6.282384952122124,-1.1235472105278916,1.0,3.0
-6.3199893844448045,-2.636546650138225,1.0,4.0
-6.090470237238996,5.054875759714491,1.0,5.0
5.274342958407704,0.36155752281766596,1.0,6.0
4.83166444204163,-6.161339245758602,1.0,7.0
-4.795259197129558,2.013021388038201,1.0,8.0
4.784778481208479,-2.9914582989073306,1.0,9.0
5.283063112587726,9.305380643711302,2.0,0.0
-4.264771102784525,1.0360402679398095,2.0,1.0
-6.722079584829624,6.989533600710461,2.0,2.0
-6.282384952122124,-1.1235472105278916,2.0,3.0
-6.3199893844448045,-2.636546650138225,2.0,4.0
-6.090470237238996,5.054875759714491,2.0,5.0
5.274342958407704,0.36155752281766596,2.0,6.0
4.83166444204163,-6.161339245758602,2.0,7.0
-4.795259197129558,2.013021388038201,2.0,8.0
4.784778481208479,-2.9914582989073306,2.0,9.0
7.443291650882815,9.305380643711302,3.0,0.0
-4.968892829101113,1.0360402679398095,3.0,1.0
-7.071180387831678,6.989533600710461,3.0,2.0
-7.610982304728304,-1.1235472105278916,3.0,3.0
-6.548463127331413,-2.636546650138225,3.0,4.0
-6.2730401506844435,5.054875759714491,3.0,5.0
5.274342958407704,0.36155752281766596,3.0,6.0
7.039043292618336,-6.161339245758602,3.0,7.0
-5.628430457035733,2.013021388038201,3.0,8.0
4.784778481208479,-2.9914582989073306,3.0,9.0
7.443291650882815,9.536965348011387,4.0,0.0
-4.968892829101113,1.0360402679398095,4.0,1.0
-7.071180387831678,7.487184821977687,4.0,2.0
-7.610982304728304,-1.934855291651727,4.0,3.0
-6.548463127331413,-3.599154675223094,4.0,4.0
-6.2730401506844435,5.35906119688212,4.0,5.0
5.274342958407704,0.19641113629561247,4.0,6.0
7.039043292618336,-6.978775309138282,4.0,7.0
-5.628430457035733,1.515370166770975,4.0,8.0
4.784778481208479,-3.9895574888691097,4.0,9.0
8.894738854754264,9.536965348011387,5.0,0.0
-4.968892829101113,1.0360402679398095,5.0,1.0
-7.071180387831678,7.487184821977687,5.0,2.0
-7.664962496417966,-1.934855291651727,5.0,3.0
-6.496191401281386,-3.599154675223094,5.0,4.0
-6.2730401506844435,5.35906119688212,5.0,5.0
5.274342958407704,0.19641113629561247,5.0,6.0
7.039043292618336,-6.978775309138282,5.0,7.0
-5.484155463956138,1.515370166770975,5.0,8.0
5.970374368112495,-3.9895574888691097,5.0,9.0
10.433831880357829,9.536965348011387,6.0,0.0
-4.816162971883086,1.0360402679398095,6.0,1.0
-7.208493310201431,7.487184821977687,6.0,2.0
-7.921031840504977,-1.934855291651727,6.0,3.0
-6.51850652634108,-3.599154675223094,6.0,4.0
-6.2730401506844435,5.35906119688212,6.0,5.0
5.274342958407704,0.19641113629561247,6.0,6.0
9.723775106338586,-6.978775309138282,6.0,7.0
-5.4052669952833075,1.515370166770975,6.0,8.0
5.970374368112495,-3.9895574888691097,6.0,9.0
10.433831880357829,9.536965348011387,7.0,0.0
-4.816162971883086,1.0360402679398095,7.0,1.0
-7.208493310201431,7.487184821977687,7.0,2.0
-7.921031840504977,-1.934855291651727,7.0,3.0
-6.51850652634108,-3.599154675223094,7.0,4.0
-6.2730401506844435,5.35906119688212,7.0,5.0
5.274342958407704,0.19641113629561247,7.0,6.0
9.723775106338586,-6.978775309138282,7.0,7.0
